column_name,data_type,nullable,description
wave_uid,string,no,"Unique wave identifier for cross-layer joins (e.g. 'tp4_w21')"
operation,string,no,"Operation identifier: tp1 (Apr 2024), tp2 (Oct 2024), tp3 (Jun 2025), tp4 (Feb 2026+)"
wave_number,integer,no,Sequential wave number within the operation (1-indexed)
wave_codename_farsi,string,yes,Iranian codename for this wave in Farsi script
wave_codename_english,string,yes,Iranian codename for this wave transliterated to English
announced_utc,datetime,yes,ISO 8601 timestamp (UTC) when wave was first announced or detected
announcement_source,string,yes,"Source of the first announcement (e.g. IDF, IRGC, OSINT account)"
probable_launch_time,datetime,yes,ISO 8601 timestamp of estimated launch time based on OSINT analysis
launch_time_israel,string,yes,Local launch time in Israel Standard Time (IST/IDT)
launch_time_iran,string,yes,Local launch time in Iran Standard Time (IRST/IRDT)
solar_phase_launch_site,integer,yes,"Solar illumination at launch site: 0=Night, 1=Astronomical twilight, 2=Nautical twilight, 3=Civil twilight, 4=Low sun, 5=Daylight"
solar_phase_target,integer,yes,"Solar illumination at target: 0=Night, 1=Astronomical twilight, 2=Nautical twilight, 3=Civil twilight, 4=Low sun, 5=Daylight"
conflict_day,integer,yes,Day number of the conflict (Day 1 = first wave of that operation)
hours_since_last_wave,float,yes,Hours elapsed since the previous wave in the same operation
time_between_waves_minutes,float,yes,Minutes elapsed since the previous wave (finer granularity than hours_since_last_wave)
wave_duration_minutes,float,yes,Estimated duration of the wave from first to last munition arrival
payload,string,yes,"Free-text description of the weapon payload composition (e.g. 'mixed BM + drones', 'ballistic only')"
drones_used,boolean,yes,Whether UAVs/loitering munitions were used in this wave
ballistic_missiles_used,boolean,yes,Whether ballistic missiles were used in this wave
cruise_missiles_used,boolean,yes,Whether cruise missiles were used in this wave
emad_used,boolean,yes,Whether Emad liquid-fueled MRBM was used
ghadr_used,boolean,yes,Whether Ghadr liquid-fueled MRBM was used
sejjil_used,boolean,yes,Whether Sejjil solid-fueled MRBM was used
kheibar_shekan_used,boolean,yes,Whether Kheibar Shekan solid-fueled MRBM was used
fattah_used,boolean,yes,Whether Fattah-1 or Fattah-2 hypersonic missile was used
shahed_136_used,boolean,yes,Whether Shahed-136 one-way attack drone was used
shahed_238_used,boolean,yes,Whether Shahed-238 jet-powered one-way attack drone was used
shahed_131_used,boolean,yes,Whether Shahed-131 one-way attack drone was used
shahed_107_used,boolean,yes,Whether Shahed-107 (Ababil-2) drone was used
